 ABBEY kulet 
 GARLIC goral 
 GARNISH kèbmak 
 GATE inod 
 GAUNT zisur 
 GAZE list 
 GEAR olon 
 GERBIL ërtong 
 GHOST ngotol 
 GHOUL kolad 
 GIFT egen 
 GILL rúbal 
 GIRDLE gintar 
 GLAND figul 
 GLAZE fikod 
 GLEN bebmal 
 GLIDE bavast 
 GLIMMER kåtdir 
 GLISTEN éthes 
 GLOSS igest 
 GLOVE reg 
 GLUTTON ubur 
 GOAT belbez 
 GOD nòm 
 GOD-FORSAKEN bunsoth 
 GOLD limul 
 GOOSE kurig 
 GORE ugzol 
 GORGE _NOUN: erib 
 GORGE _VERB: îgam 
 GRAIN mas 
 GRAND zugob 
 GRAPE mashus 
 GRASS isin 
 GRAVE mondûl 
 GREASE siz 
 GREAT saràm 
 GREED dal 
 GREEN omer 
 GRIFFON sumun 
 GRILL gommuk 
 GRIM usith 
 GRIND nerrid 
 GRIP zágod 
 GRISTLE mithmis 
 GRIZZLE enol 
 GROVE munèst 
 GROW bol 
 GROWL ûz 
 GROWTH bål 
 GRUB sitheb 
 GUARD duthnur 
 GUILE ilbåd 
 GUISE rurast 
 GUT suton 
 GUTTER nuglush 
 HAG ulthush 
 HAIR razes 
 HAIRY bistök 
 HAME èzum 
 HAMMER nil 
 HAMMERER ùnil 
 HAND otad 
 HANDY oddet 
 HARE thetdel 
 HARVEST golud 
 HARVEST _VERB: ûd 
 HATCHET kadol 
 HATE lur 
 HAUNT dumur 
 HAWK aknûn 
 HAY otel 
 HEAD ser 
 HEART zanor 
 HEARTH ur 
 HEATHER bokbon 
 HEDGE èfim 
 HELL shash 
 HELM zon 
 HERO obur 
 HEX banik 
 HIDE sebïr 
 HIDEOUS lirlez 
 HIGH erlin 
 HILL inen 
 HIP åmât 
 HOARY goster 
 HOBBLE kunon 
 HOG tarag 
 HOLY kiron 
 HOIST lilum 
 HOLE oggez 
 HOME bom 
 HONEY stetár 
 HOOD sikel 
 HOOF unnos 
 HOP _NOUN: kisul 
 HOP _VERB: ikus 
 HORN sheget 
 HORSE famthut 
 HOUND rorung 
 HOWL idor 
 HUG enur 
 HUM kur 
 HUNGER fokásh 
 HUSTLE vostaz 
 ICE ushil 
 IDLE gumùr 
 IDOL ular 
 ILL enen 
 IMPURE goshîst 
 INCENSE âzkob 
 INCH meb 
 INK likot 
 INN stëtnin 
 INSANITY zarut 
 INVISIBLE nelzur 
 IRON datan 
 ITCH tabmik 
 IVY rinal 
 JACK ebgok 
 JACKAL soshosh 
 JAUNDICE bukshon 
 JAW stîgil 
 JEST lumen 
 JOKE maton 
 JUGGLE abol 
 JUICE cim 
 JUNGLE egath 
 JUST imketh 
 JUSTIFY ilned 
 KEEPER zuden 
 KEG emtan 
 KEY edëm 
 KINDNESS nosîm 
 KILLER vagúsh 
 KISS alis 
 KING etar 
 KNEAD inshot 
 KNIFE zasit 
 KNIGHT arzes 
 KNIT äbor 
 KNOT oth 
 LACE vakist 
 LAKE ner 
 LARD bul 
 LARK ìddor 
 LARVA onam 
 LAST ulol 
 LAW toral 
 LAZY omoth 
 LEADER erar 
 LEAF govos 
 LEAK orab 
 LEAN dalkam 
 LEECH subol 
 LEGEND gomath 
 LENS cerol 
 LEOPARD mingkil 
 LEPER detthost 
 LEPROSY rerik 
 LETTER lolor 
 LIE os 
 LIGHT istam 
 LIGHTNING giken 
 LIMB od 
 LIP mengmad 
 LISTEN âmid 
 LIZARD bungek 
 LOBSTER zedot 
 LOCK thak 
 LONE tetóth 
 LONG romek 
 LOOT utir 
 LORD ïlul 
 LOST uleng 
 LOUSE sosmil 
 LOVE aval 
 LOW lushòb 
 LUNCH asin 
 LUNG vunom 
 LURID vurtib 
 LURCH gukil 
 LURK dimol 
 LUSH lelgas 
 LUST nethgön 
 LUTE itur 
 LYRIC avan 
 MAGGOT mingus 
 MAGIC aroth 
 MAN udos 
 MANGE imust 
 MANY shàmman 
 MARSH rinmol 
 MARTYR muzish 
 MASTER kôn 
 MAW stul 
 MEAD thash 
 MEADOW kenis 
 MEAL _DOM fathkal 
 MEAL _GROUND inob 
 MEAT igril 
 MEDITATION an 
 MELLOW unob 
 MENACE nalthish 
 MESS ostësh 
 METAL kel 
 MIDNIGHT eddaz 
 MIGHTY ekur 
 MIGHTINESS arâl 
 MILE shar 
 MINCE rimuk 
 MIND ottan 
 MINION shagul 
 MIRROR ònul 
 MISERY egeth 
 MIST sôd 
 MITE dusak 
 MOLD ovus 
 MOLE gomòk 
 MOLTEN stesok 
 MONKEY vankåb 
 MOON ïlon 
 MONGER odês 
 MOTH alen 
 MOTHER bobrur 
 MOUSE stoling 
 MOUTH dum 
 MUCK zagstok 
 MUD ol 
 MUFFIN gatis 
 MULE udler 
 MUNCH adesh 
 MURDER usân 
 MUSH kavud 
 MUSHROOM kirun 
 MUSIC shasad 
 MYSTERY shoveth 
 MYTH lathon 
 NAIL um 
 NASTY thubil 
 NATURE egom 
 NECRO ugith 
 NEGATIVE ngutug 
 NEGATE kez 
 NEO lärim 
 NEST ikûl 
 NESTLE semtom 
 NET kib 
 NETTLE rotik 
 NEW ir 
 NEWT stosêth 
 NIBBLE kezol 
 NIGHT anan 
 NIGHTMARE disuth 
 NOBLE rîthol 
 NOOSE tezul 
 NORTH irol 
 NOSE otam 
 NULL rodïm 
 NUMBER nunok 
 NURTURE umel 
 NUT ishlum 
 OAK kin 
 OAR mebzuth 
 OAT usib 
 OBLIVION nar 
 OCEAN migrur 
 OLD egar 
 OMEN dakon 
 ONE lod 
 ONE _PREF nir 
 ONION anön 
 OOZE muved 
 OPEN am 
 ORB vabôk 
 OVER ág 
 OWL ritas 
 OX udril 
 PACK shigós 
 PAD _NOUN: dáthnes 
 PAD _VERB: âgez 
 PAGE mörul 
 PAIN zulash 
 PAINT logem 
 PALE abal 
 PALM kulin 
 PANT lerom 
 PANTHER gatin 
 PANTS ul 
 PAPER monom 
 PEACE bisól 
 PEACH ginok 
 PEPPER rumred 
 PHLEGM ugeth 
 PIG thuveg 
 PIT gor 
 PITCH damol 
 PLAGUE elcur 
 PLANT erok 
 PLANTER tok 
 PLOT îm 
 POCKET _NOUN: rèt 
 POCKET _VERB: shoner 
 POISON inrus 
 PORTAL mistêm 
 POWER midor 
 PRANK nilgin 
 PREGNANT merir 
 PRIDE nikuz 
 PRIEST kamuk 
 PRIM enal 
 PRIME zèler 
 PRIMITIVE stibbom 
 PROFANE vildang 
 PROPHECY arkoth 
 PROPHET lashëd 
 PROWL kasith 
 PUKE ngathsesh 
 PULL tashem 
 PULLEY besmar 
 PULP furgig 
 PUNCH nônub 
 PURPLE rushrul 
 PUS megob 
 PUTRID uvir 
 QUAKE ùshrir 
 QUEEN esrel 
 QUICK bukèt 
 QUILL nimak 
 RABBIT lestus 
 RABBLE fullut 
 RACE _GROUP arkim 
 RACE _VERB: imsal 
 RACK led 
 RAG unib 
 RAGE ron 
 RAIN udar 
 RAKE borush 
 RAM detes 
 RAMPAGE umoz 
 RANDOM serkib 
 RANSACK vudthar 
 RAPTOR razot 
 RAT atem 
 RAUNCH ezuk 
 RAVAGER vozbel 
 RAVEN toltot 
 RAW när 
 RAZOR stukos 
 RED ang 
 REGAL nuden 
 REIGN ikud 
 REIN memad 
 REND eshik 
 RIDER emgash 
 RIM tirist 
 RING _OBJECT athel 
 RING _SOUND seng 
 RIP osdin 
 RIPE ethram 
 RIPPER kamut 
 RISE locun 
 RITE selor 
 RIVER igër 
 ROCK id 
 ROGUE astås 
 ROMANCE âbir 
 ROOM mosus 
 ROOMY omthel 
 ROOT odur 
 ROSE istbar 
 ROT zodost 
 ROUGH dumat 
 ROYAL relon 
 RUIN notlith 
 RUIN _VERB: suthån 
 RULER ilid 
 RUMOR tithleth 
 RUST kezar 
 SABRE ast 
 SACK fath 
 SAINT tölún 
 SALT nabid 
 SALVE sibrek 
 SAP thining 
 SATIN gasìs 
 SAVAGE noglesh 
 SAVAGERY aroz 
 SAVIOR tâmol 
 SCAB nanul 
 SCAR urrïth 
 SCOLD kikës 
 SCORPION askak 
 SCRATCH kes 
 SCOURGE abshoth 
 SCREAM ubas 
 SCUM angish 
 SEA allas 
 SEAL _ANIMAL gembish 
 SEAL _ART urvad 
 SEAM fel 
 SEASON ingul 
 SECRET nekut 
 SEDUCE genlath 
 SEDUCER shulmik 
 SEED lenod 
 SEER abras 
 SEIZE asol 
 SERPENT shethel 
 SERVANT urnût 
 SEVER zursul 
 SEWER othsal 
 SHADOW shedim 
 SHAFT arak 
 SHANK tizöt 
 SHARK taran 
 SHEAR bithit 
 SHEEN otik 
 SHELL kerlîg 
 SHELTER lêned 
 SHIELD sodel 
 SHIMMER ônam 
 SHIP zuglar 
 SHOOT keskal 
 SHOW nåst 
 SHRED uvóth 
 SHRIEK mîvid 
 SHUT éth 
 SICK kafâsh 
 SICKNESS ngumrash 
 SIEGE zokun 
 SILENCE eshom 
 SILK nesteth 
 SILKY thebil 
 SILT ammesh 
 SILVER ral 
 SIN reksas 
 SINEW gesis 
 SING osal 
 SISTER anir 
 SKIRT _CLOTHING: nabreth 
 SKIRT _VERB: dakäl 
 SKUNK rungak 
 SKULL nekol 
 SKY anriz 
 SLAUGHTER kosh 
 SLAVE noth 
 SLAYER tharnas 
 SLIM gansit 
 SLIME bàgoz 
 SLING bim 
 SLINK themthir 
 SLIT sakil 
 SLITHER tekmok 
 SLIVER rasuk 
 SLOTH gäzot 
 SLUG tozör 
 SMASH tob 
 SMILE kal 
 SMITH eshtân 
 SMOKE mezum 
 SMOOTH umar 
 SMOULDER zeber 
 SNACK geles 
 SNAKE therleth 
 SNEER tinan 
 SNOT zekrim 
 SNUGGLE magel 
 SOIL adur 
 SOLDIER ezar 
 SOOT bonun 
 SOOTHE bûnem 
 SORROW egur 
 SOUL unol 
 SOUND vod 
 SOUTH lal 
 SPASM debish 
 SPAWN bushos 
 SPEAR lokum 
 SPELL thortith 
 SPICE omât 
 SPIDER sethal 
 SPIDERY soshor 
 SPIKE thocit 
 SPIN esesh 
 SPINE lûrit 
 SPIRIT ubal 
 SPIT òstob 
 SPITTLE lashid 
 SPOIL usur 
 SPOON kob 
 SPRING _NOUN: kigok 
 SPRING _SEASON bekom 
 SPRING _VERB: magak 
 SPRY vës 
 SPY estrith 
 SQUID gongith 
 SQUIRM dugud 
 STAB zat 
 STAFF nomal 
 STALK oltud 
 STAND savot 
 STAR vîr 
 STEED dustîk 
 STARVE shìstsak 
 STEAL risid 
 STEEL deler 
 STENCH aztong 
 STERN gïnon 
 STICK _WOOD sholil 
 STICK _VERB: ecut 
 STICKY mëtin 
 STONE lam 
 STORM togal 
 STRANGE mot 
 STRAP nîles 
 STRAPPING _ADJECTIVE: nefast 
 STRAW atith 
 STRAY rêg 
 STRENGTH emen 
 STRETCH äkig 
 STRIKE abod 
 STROKE sat 
 STUNT timad 
 STUNTED ibas 
 STUPID othob 
 STUTTER fûbeg 
 STYLE tunur 
 SUBORDINATE idgag 
 SUCK eb 
 SUFFERING omshit 
 SUGAR ibes 
 SULLY oceg 
 SULLEN akuth 
 SUMMER isram 
 SUN ad 
 SUNDER imgoz 
 SUPPER nis 
 SURPRISE stot 
 SWAMP ögred 
 SWEAT sined 
 SWEET tecàk 
 SWIFT subet 
 SWIM urmim 
 SWINE obash 
 SWORD dastot 
 SYRUP udib 
 TAKER enkos 
 TAIL kesh 
 TALON kidet 
 TAR ob 
 TARNISH thilség 
 TELL asteb 
 TEMPEST akmesh 
 TEAR vim 
 TERROR angzak 
 THIEF gakit 
 THIRST rëcus 
 THORN kurik 
 THRALL unkíl 
 THREE mez 
 THROAT erith 
 THRONE kalur 
 THROWER arros 
 THUNDER amud 
 TICK _ANIMAL nobgost 
 TICK _CLOCK tan 
 TIGHT lïd 
 TIME ashok 
 TOAD nod 
 TOE nin 
 TOMB rakust 
 TOME melbil 
 TONGUE nol 
 TOOTH raz 
 TORMENT dostust 
 TOUCH tat 
 TOUCHY stïvut 
 TOUR sigun 
 TOWER urdim 
 TRAIL kälán 
 TRANCE shelret 
 TRAP ïggal 
 TRASH rëdreg 
 TREASURE idräth 
 TREAT datlad 
 TREATY ilral 
 TRENCH borik 
 TRIBE meden 
 TRICK vafig 
 TRICKERY tízen 
 TRIM dizesh 
 TROUBLE kobem 
 TUG cavor 
 TULIP shilràr 
 TUMBLE segun 
 TUMOR messog 
 TURMOIL bukith 
 TUSK bufut 
 TWEET nilim 
 TWILIGHT ingtak 
 TWINE damor 
 TWIST gim 
 TWO nob 
 UGLY eknar 
 ULCER mengib 
 ULTIMATE isrir 
 ULTRA ishëm 
 UNBRIDLED ticek 
 UNCLE mer 
 UNGODLY othâsh 
 UNHOLY kôkdath 
 UNKEMPT distat 
 UNSEEN nirur 
 UNTOWARD kiret 
 UNWELCOME thisrid 
 URN vucar 
 USELESS kizab 
 VANDAL tudrug 
 VEGETABLE sêgam 
 VEGETATE amluth 
 VEGETATION nozush 
 VELVET mirstal 
 VENOM zamoth 
 VERMIN bomik 
 VILE munsog 
 VIOLATOR razmer 
 VIOLENCE liruk 
 VIOLET geget 
 VIPER zenon 
 VOICE okol 
 VOID torir 
 VOLCANO stodir 
 VOMIT ôggon 
 VULTURE tikis 
 WAIL unos 
 WANDER legon 
 WAR alnis 
 WARRIOR ïkor 
 WASP tathtak 
 WASTE lidod 
 WATCH azin 
 WATCHFUL isden 
 WAVE uker 
 WAVY kussad 
 WEAR nilun 
 WEASEL bamgûs 
 WEAVER adril 
 WEED koshmot 
 WEIGHT âl 
 WEIRD umgush 
 WERE senel 
 WEST sital 
 WHEAT kil 
 WHEEL kol 
 WHIP bomrek 
 WHISK boket 
 WHISKY atil 
 WHISPER iklist 
 WHITE volal 
 WICKED lish 
 WILD omrist 
 WILL ud 
 WING fesh 
 WINTER akath 
 WISP lim 
 WITCH damîd 
 WONDER _NOUN: anur 
 WONDER _VERB: kulal 
 WOOD lolum 
 WORK ducim 
 WORM vesrul 
 WRAITH urosh 
 WRATH akith 
 WRETCH lêrush 
 YARN ethír 
 YEAR îd 
 YEARLING budam 
 YELLOW inol 
 YORE okang 
 YOUNG ging 
 YOUTH rilem 
 ZEAL kizest 
 ZEALOT kebösh 
 ZEPHYR shesam 
 EARTH ber 
 ARTIFACT zan 
 BED zust 
 BUD enshal 
 CAVORT nastid 
 COMMON ultèr 
 DAUB ag 
 DESERT zareth 
 DESSERT tislam 
 DIAMOND doren 
 DOMAIN róth 
 DREAM nåzom 
 TIN akrul 
 COPPER gusil 
 BRONZE kilrud 
 GRANITE lolok 
 FANCY lemlor 
 FARM ivom 
 FIELD fikuk 
 FROTH gulgun 
 GENIUS kast 
 GLACIER usir 
 GURGLE sodzul 
 IMPALE stòkïd 
 JOIN etas 
 JADE otil 
 IVORY sosad 
 LAND nïr 
 LATHER anban 
 LIMP dithbish 
 LUCID ekir 
 MOUNTAIN onol 
 MUCUS godum 
 PATTERN lîlar 
 PEBBLE ib 
 BOULDER etur 
 PETAL rithul 
 DROPLET óboth 
 PINNACLE al 
 PLAIN zimkel 
 PLAINADJ bimmon 
 POINT äkil 
 POT tezad 
 PRAIRIE lâven 
 RUSH sashas 
 SLAP sezuk 
 SLEEVE saneb 
 SPECK kik 
 STEPPE dasnast 
 TENTACLE itêg 
 TEST okil 
 TROT esis 
 TUB buris 
 TUBE ecem 
 TUNDRA kekath 
 UN nas 
 WADDLE nursher 
 WEALTH limâr 
 WEEVIL sostet 
 WHIM ken 
 WHIRL estil 
 WORLD oram 
 DESERTVERB galthor 
 FANCYVERB nefek 
 LIMPVERB gabet 
 POINTVERB idok 
 PANTOMIME tetthush 
 SLUDGE ukath 
 GOO igang 
 REALM ushul 
 PLANE sil 
 DIMENSION kar 
 UNIVERSE thur 
 PLANET nitom 
 LIVID azzin 
 TEPID selen 
 HONEST gadan 
 KINGDOM osor 
 EMPIRE thalal 
 CONFEDERATION onesh 
 SIMPLE guz 
 TROOPER êsik 
 CRIMSON thestar 
 DUNE astis 
 DIRECT ôtthat 
 CLASH lisid 
 FOREVER nalish 
 SUBTLE ozor 
 PUPPET ceshfot 
 HEGEMON dok 
 AMAZE edos 
 ALCHEMY anzish 
 INSIGHT lûk 
 UNION semor 
 CONFEDERACY mulåsh 
 SPEAK âm 
 SPEAKER kutam 
 PERSUADE eges 
 PERSUADER fimshel 
 CONTROL egul 
 CONTROLLER tesum 
 WORKER cubor 
 BASIC enseb 
 SYSTEM idith 
 RAY edim 
 TARGET vetek 
 BANK gérig 
 CLEAN lecad 
 DRIVE sterus 
 SOAR umåm 
 GLORY anil 
 DISMAL nobang 
 RADIANCE atêsh 
 PINE umril 
 MESSIAH milol 
 CRAFT rigòth 
 LABOR èrith 
 DISCOVER thazor 
 PROLIFERATE gashcoz 
 CHUNK bor 
 SLIP fôker 
 SLIDE megid 
 SINGLE elik 
 PICK tekkud 
 TONGS olin 
 PERMANENCY ìrlom 
 RESPONSIBLE stemel 
 REQUIRE inem 
 ROOTVERB lulâr 
 BLIZZARD zolak 
 GENERAL gärem 
 MEMORY gidur 
 CONSTRUCT aban 
 LAMB nebïn 
 TOAST zasgim 
 GROSS thólthod 
 PADDLE iden 
 COUNCIL össek 
 COUNSEL amkol 
 GNARLED löbor 
 STUMP shùrrat 
 NAUGHTY kêdnath 
 PLAY FUN titthal 
 PLAY PERFORM stisträs 
 FLIMSY tetist 
 GREATER riras 
 GREATEST töras 
 LESSER gekur 
 LEAST gudos 
 BEARD durad 
 DREAD zêvut 
 WALL adil 
 WALLOW ngesgäs 
 TAX stettad 
 FRAGRANCE shosêl 
 LANTERN udil 
 TORCH litast 
 WATER arel 
 WINE otin 
 LINE vel 
 MINE avuz 
 WAX rithlut 
 SHOVE tomus 
 SHOVEL dugan 
 MELT kalal 
 WRACK shoshin 
 GLITTER eser 
 SPARK îbmat 
 SPARKLE kebul 
 FLASH asiz 
 GLEAM almôsh 
 RUN rur 
 DASH rutod 
 SAVANT vumom 
 ROAR orrun 
 YELL taron 
 ECHO sárek 
 HOLLOW ugosh 
 FULL esmul 
 EMPTY kisat 
 WORD il 
 INTENSE rinul 
 SAD mukar 
 GLAD amkin 
 TRAGEDY mosos 
 BELL rith 
 BELLY tòm 
 TUMMY bugud 
 SHOCK otung 
 PONDER zoz 
 PONDEROUS umshad 
 HEAVEN dasël 
 ROUND lames 
 ROUNDED lavath 
 UNSPEAKABLE ozur 
 UNTHINKABLE zotthol 
 UNNAMEABLE nan 
 CALAMITY rorash 
 CYCLOPEAN nguteg 
 TAME ôsust 
 UNTAMED umäm 
 BURST instol 
 METEOR kesting 
 TRITE ebbus 
 TRIFLE bobet 
 RANK ong 
 RANCOR zokgen 
 BITTER räduk 
 SOUR zunek 
 DANGER kezat 
 IMPERVIOUS kadän 
 UNSWERVING sar 
 SWAY êlbem 
 LUXURY ertal 
 EUPHORIA râmol 
 SCINTILLATE girust 
 DIVINE nabas 
 DIVIDE lozlok 
 TAINT ongos 
 CORRUPT shusug 
 MALIGN SLANDER V tongus 
 MALIGN ADJ tustzal 
 MALIGNANT kùgneb 
 TRUST gamil 
 DISTRUST gingim 
 TRUSTWORTHY arin 
 UNTRUSTWORTHY govûl 
 DISHONEST vetor 
 BLIGHT sharsid 
 CUNNING nakis 
 SLY lanir 
 RUSTIC ikùl 
 HOMELY nakbab 
 LONELY nimem 
 LONESOME numol 
 CLOSE urol 
 FORD atul 
 WAY deg 
 WAYWARD onul 
 BANDIT ägash 
 BRIGAND bogsosh 
 MONSTER ushang 
 SENSE emal 
 INSENSITIVE ethzuth 
 SENSUAL gathil 
 ODOR kebon 
 MALODOROUS sutung 
 IGNORANT nizdast 
 IGNOBLE mimkot 
 HUMBLE vir 
 MORAL tumam 
 IMMORAL osstam 
 SUPERIOR kulsim 
 INFERIOR gemis 
 INFINITE êr 
 SABLE COLOR fenok 
 FELL CRUEL igrish 
 FELL HIDE urus 
 PELT HIDE rodem 
 DIGNITY zengod 
 UNDIGNIFIED íster 
 INDIGNATION luskal 
 RIGHT BETTER kìrar 
 ABSOLUTE ilas 
 FAIR EVEN anûz 
 FAIR COLOR angen 
 SNARL desis 
 LOYAL damèl 
 DISLOYAL assog 
 HELP usen 
 FRIEND babin 
 COURTESY tustem 
 CHEERFUL debben 
 THRIFT kabat 
 BRAVERY âtast 
 REVERE ebal 
 VENERATE lanzil 
 SALUTE belar 
 NATION solam 
 DRINK ór 
 CONSIDERATE nucam 
 CONVENIENT letom 
 INCONSIDERATE mengthul 
 INCONVENIENT thêmnol 
 CONTINENT linòn 
 FLIGHT vuthil 
 FLIGHTY rersîr 
 GILD oltar 
 GUILD domas 
 MERCHANT asmel 
 TRADE nish 
 PLAIT mamot 
 BRAID nakuth 
 PLEAT udist 
 FOLD ost 
 BUNION shadust 
 UNCOMMON morus 
 RARE akrel 
 SCARCE kith 
 REMARKABLE bomel 
 UNREMARKABLE orngim 
 SOLITARY ngubmul 
 BEND mat 
 BLAME nulom 
 BLAMELESS ustan 
 TWIG buzat 
 GIRDER thob 
 TRUSS tilesh 
 SKEWER gecast 
 SCULPT aran 
 TRESS stëlmith 
 LOCK HAIR dolil 
 CURL amem 
